ID	year	source	details
r145434	1863	Quart. J. Micr. Sci., ser. 2,	3: 233, pl. X: fig. 16
r145411	1863	Quart. J. Micr. Sci., ser. 2,	3: 233, pl. IX: fig. 13
r120367	1883	Syn. Diat. Belg.:	pl. CXIV: fig. 1
r153063	1959	A. Schmidt's Atlas Diatom.-Kunde:	pl. 466: figs. 1-7
r153065	1889	Beitr. Kenntn. Foss. Bacill. Ungarns	2: 92, pl. 27: fig. 395
r120368	1883	Syn. Diat. Belg.:	pl. CXIII: fig. 14
r153108	1949	Diatomovyi Analis:	2: 166, pl. 62: fig. 5a,b
r135386	2001	Rev. Brasil. Biol.	61: 161, figs. 1-21
r145379	1887	J. Quekett Micr. Club, ser. 2,	3: 7, pl. II: fig. 5
r120369	1865	Trans. Microscop. Soc. London	ser. 2, 13: 32, pl. IV: fig. 18
r120370	1883	Syn. Diat. Belg.:	pl. CX: fig. 6
r120371	1886	Atlas Diat.-Kunde:	pl. 111: figs. 1, 2
r120372	1883	Syn. Diat. Belg.:	pl. CXIII: figs. 9, 11
r145444	1865	Trans. Micr. Soc. London, ser. 2,	13: 8, pl. II: fig. 19
r123701	1929	Diat. Rares et Curieuses	1: pl. II: fig. 14
r149720	1888	Atlas:	pl. 127: figs. 5-8
r145396	1887	J. Quekett Micr. Club, ser. 2,	3: 135, pl. X: fig. 18
r145413	1864	Trans. Micr. Soc. London, ser. 2,	12: 90, pl. XI: fig. 11
r120373	1861	Trans. Microscop. Soc. London, ser. 2,	9: 76, pl. IX: fig. 8
r153068	1959	A. Schmidt's Atlas Diatom.-Kunde:	pl. 466: figs. 13-16
r153070	1959	Bot. Mater. Bot. Inst. Akad. Nauk SSSR, Spor. Rast.	12: 118, fig. 2: 3
r120374	1883	Syn. Diat. Belg.:	pl. CXI; fig. 3
r120375	1946	J. Paleontol.	20: 114, pl. 17: fig. 17
r120376	1974	Diat. Pozdn. Mela:	87, pl. XXIX: figs. 12-17
r120377	1883	Syn. Diat. Belg.:	pl. CXIII: fig. 10
r145421	1892	Diatomiste	1: 119
r120378	1992	Proc. Ocean Drilling Program, Sci. Results	120: 708, pl. 1: figs. 1-3
r153074	1864	Trans. Micr. Soc. London, ser. 2,	12: 89, pl. XIII: fig. 16
r145399	1887	J. Quekett Micr. Club, ser. 2,	3: 136, no fig.
r153076	1959	A. Schmidt's Atlas Diatom.-Kunde:	pl. 471: fig. 2
r150682	1890	Atlas:	pl. 152: fig. 31
r120379	1883	Syn. Diat. Belg.:	pl. CXIII: fig. 13
r120380	1887	J. Quekett Microscop. Club, ser. 2,	3: 135, pl. X: fig. 17
r152423	1890	Diat. N. America:	expl. pl. CV: fig. 17
r120381	1951	K. Svenska Vet. Akad. Handl.	[ser. 6(`4')], 2{1}: 114
r150265	1885	Atlas:	pl. 83: fig. 4
r145416	1861	Trans. Micr. Soc. London, ser. 2,	9: 75, pl. IX: fig. 6
r145401	1889	Beitr. Kenntn. Foss. Bacill. Ungarns.	2: 94, pl. 7: fig. 122
r120382	1949	Diat. Anal.	2: 162, pl. 58: fig. 4
r120383	1948	Bot. Zhurn.	33: 350, 351, 353, 355, fig. 10
r120384	1978	Initial Rep. Deep Sea Drilling Project,	Suppl. to vols. 38-41: 535, pl. 30: figs. 15-20
r120385	1853	Quart. J. Microscop. Sci.	1: 252, pl. IV: fig. 21
r120387	1890	Atlas Diatomaceenk.:	pl. 150: figs. 2-6
r120388	1949	Diat. Anal.	2: 169, pl. 64: fig. 6
r153079	1959	A. Schmidt's Atlas Diatom.-Kunde:	pl. 467: fig. 29
r145431	1889	Beitr. Kenntn. Foss. Bacill. Ungarns.	2: 94, pl. 9: fig. 164
r145436	1866	Trans. Micr. Soc. London, ser. 2,	14: 8, pl. II: fig. 23
r120389	1930	A. Schmidt's Atlas Diat.:	pl. 371: fig. 7
r120391	1987	Atlas & Cat. Diat. Types Hustedt:	126, pl. 203: figs 1, 2
r120390	1930	A. Schmidt's Atlas Diat.:	pl. 371: fig. 6
r154010	1946	J. Paleont.	20: 114, pl. 17: fig. 8
r120392	1965	Nov. Sist. Nizsh. Rast. [Bot. Inst. Akad. Nauk SSSR]	1965: 34, pl. V: fig. 5; pl. VI: figs. 1, 2
r145442	1856	Quart. J. Micr. Sci.	4: 275, pl. XVII: fig. 15
r151910	1977	Unknown source	Unknown citation
r120393	1974	Diat. Pozdn. Mela:	84
r120394	1881	K. Svenska Vet. Akad. Handl.,	ser. 4, 18{5}: 23, pl. VI: fig. 71
r153082	1888	Atlas:	pl. 128: fig. 7
r145418	1896	Diatomiste	2: 246, pl. XXI: fig. 14
r145403	1856	Quart. J. Micr. Sci.	4: 274, pl. XVII: fig. 4
r153084	1959	A. Schmidt's Atlas Diatom.-Kunde:	pl. 468: figs. 10-12
r120395	1990	Diatom Res.	5: 161, figs. 13-16, 23
r120396	1990	Diatom Res.	5: 161, figs. 17-20, 24
r120397	1965	Nov. Sist. Nizsh. Rast. [Bot. Inst. Akad. Nauk SSSR]	1965: 34, pl. IV: fig. 5; pl. V: figs. 3, 4
r145405	1930	A. Schmidt's Atlas:	pl. 372: fig. 7
r145423	1856	Quart. J. Micr. Sci.	4: 274, pl. XVII: fig. 5
r145429	1886	J. Quekett Micr. Club, ser. 2,	2: 328, pl. XIX: figs. 15, 16
r120398	1885	Zap. Imp. S.-Peterburgsk. Mineral. Obshch., ser. 2,	22: 170, pl. VIII: fig. 8
r120399	1885	Zap. Imp. S.-Peterburgsk. Mineral. Obshch., ser. 2,	22: 170, pl. VII: fig. 9; pl. XII: fig. 3
r145448	1861	Trans. Micr. Soc. London, ser. 2,	9: 43, pl. IV: fig. 11
r147338	1874	Hedwigia	13: 163, no fig.
r145446	1888	Diat. Hayti:	23, pl. VII: fig. 16
r152869	1886	Atlas:	pl. 94: fig. 9
r129865	1984	Brit. Phycol. J.	18: 405-412, figs. 26-42
r120401	1849	Sp. alg.:	680
r129866	1849	Species algarum:	680
r120650	1836	Fl. Hibern.	3: 184
r146919	2014	Phytotaxa	163: 248
r140644	2014	Phytotaxa	163: 244, figs. 1, 2
r145904	2001	Preslia	73: 269
r120674	1830	Abh. K&ouml;nigl. Akad. Wiss. Berlin, Phys. Kl.	1830: 65
r130860	1988	Arch. Hydrobiol. Suppl.	80 (Algol. Stud. 50-53): 418
r129867	1830	Ann. Phys. u. Chem.,	ser. 2, 8: 506
r158634	1892	Ann. Sci. Nat. Bot., ser. 7,	16: 196, pl. 5: figs. 27-30
r158636	1892	Ann. Sci. Nat. Bot., ser. 7,	16: 196 (=key), 197, pl. 6: fig. 1
r120403	1926	Vid. Meddel. Dansk Naturh. For. K&oslash;benhavn	82: 221, pl. VI: figs. 66, 67
r120404	1895	ForschBer. Biol. Stat. Pl&ouml;n	3: 13 footnote
r130861	1988	Arch. Hydrobiol. Suppl.	80 (Algol. Stud. 50-53): 419
r152349	1978	Schweiz. Z. Hydrol.	39: 142
r129868	1892	Ann. Sci. Nat. Bot., ser. 7,	16: 196, 197, pl. 6: figs. 2-4
r149220	1845	Phyc. germ.:	153
r120405	1976	Geophytology	5: 140, pl. 1: figs. 14-16
r120406	1974	Special Publ. Birbal Sahni Inst. Palaeobot.	3: 62
r150338	1983	Bull. Geological Surv. Canada	359: 22, fig. 17, pl. 6: figs. 6-15
