nameID	relatedNameID	type
155703	155702	basionym
101711	101710	basionym
131955	152699	basionym
100879	100904	basionym
136131	136204	basionym
153135	153135-alt	spelling correction
100881	100881-alt	spelling correction
136336	136228	basionym
100883	104067	basionym
136137	136113	basionym
153604	146998	basionym
148903	148903-alt	spelling correction
136167	136167-alt	spelling correction
136168	136168-alt	spelling correction
100893	112844	basionym
100896	105057	basionym
100897	100896	basionym
136203	143059	basionym
144896	144897	basionym
144896	144896-alt	spelling correction
154604	154604-alt	spelling correction
136211	136165	basionym
138801	138801-alt	spelling correction
136334	136192	basionym
101602	101603	basionym
136335	136205	basionym
101586	101586-alt	spelling correction
100903	144424	basionym
100909	115427	basionym
100909	100909-alt	spelling correction
140459	140460	basionym
140461	140462	basionym
140463	140464	basionym
140465	140466	basionym
140465	140465-alt	spelling correction
140468	140469	basionym
140470	140471	basionym
140472	140473	basionym
140475	140476	basionym
140477	140477-alt	spelling correction
140479	140480	basionym
140482	140483	basionym
140484	140485	basionym
140486	140487	basionym
140486	140486-alt	spelling correction
140488	140489	basionym
100911	109233	basionym
136564	154578	basionym
154647	154578	basionym
154647	154647-alt	spelling correction
139070	139069	basionym
158747	158747-alt	spelling correction
100919	100919-alt	spelling correction
158629	147094	basionym
158628	147153	basionym
100922	100952	basionym
100925	100965	basionym
136565	643907	basionym
139066	139067	basionym
132214	132207	basionym
146974	146974-alt	spelling correction
100933	100933-alt	spelling correction
100936	100930	basionym
121414	121415	basionym
147131	147131-alt	spelling correction
100937	100953	basionym
146961	146962	basionym
147137	147137-alt	spelling correction
136567	643935	basionym
147140	147140-alt	spelling correction
100945	100954	basionym
151675	151676	basionym
147150	100930	basionym
147052	147053	basionym
147153	147153-alt	spelling correction
147108	147108-alt	spelling correction
136568	643952	basionym
158626	158627	basionym
158622	158623	basionym
146959	146960	basionym
147072	147071	basionym
121416	121415	basionym
121416	121416-alt	spelling correction
147779	100955	basionym
100967	100959	basionym
100969	100917	basionym
151872	100970	basionym
100972	100950	basionym
151873	100971	basionym
124670	124670-alt	spelling correction
124671	124671-alt	spelling correction
124672	128480	basionym
124672	124672-alt	spelling correction
